ID,Project Title,Requirements,Domain,Complexity Level,Description
45,Smart Farming System,IoT,Agriculture,Intermediate,"a management concept focused on providing the agricultural industry with the infrastructure to leverage advanced technology – including big data, the cloud and the internet of things (IoT) – for tracking, monitoring, automating and analyzing operations."
45,Smart Farming System,Raspberry Pi (for hardware programming),Agriculture,Intermediate,"a management concept focused on providing the agricultural industry with the infrastructure to leverage advanced technology – including big data, the cloud and the internet of things (IoT) – for tracking, monitoring, automating and analyzing operations."
45,Smart Farming System,Arduino (for hardware programming),Agriculture,Intermediate,"a management concept focused on providing the agricultural industry with the infrastructure to leverage advanced technology – including big data, the cloud and the internet of things (IoT) – for tracking, monitoring, automating and analyzing operations."
45,Smart Farming System,REST API,Agriculture,Intermediate,"a management concept focused on providing the agricultural industry with the infrastructure to leverage advanced technology – including big data, the cloud and the internet of things (IoT) – for tracking, monitoring, automating and analyzing operations."
45,Smart Farming System,Cloud Computing,Agriculture,Intermediate,"a management concept focused on providing the agricultural industry with the infrastructure to leverage advanced technology – including big data, the cloud and the internet of things (IoT) – for tracking, monitoring, automating and analyzing operations."
46,E-learning Content Creation Tool,Python,Education,Intermediate,"enable instructional designers to build e-learning content. The tool allows you to create and manage your course, including the creation of every slide, video, and voiceover in it"
46,E-learning Content Creation Tool, Natural Language Processing (NLP),Education,Intermediate,"enable instructional designers to build e-learning content. The tool allows you to create and manage your course, including the creation of every slide, video, and voiceover in it"
46,E-learning Content Creation Tool, Machine Learning,Education,Intermediate,"enable instructional designers to build e-learning content. The tool allows you to create and manage your course, including the creation of every slide, video, and voiceover in it"
46,E-learning Content Creation Tool,REST API,Education,Intermediate,"enable instructional designers to build e-learning content. The tool allows you to create and manage your course, including the creation of every slide, video, and voiceover in it"
47,Social Network Analysis,Python,Social Media,Advanced,"the study of structure, and how it influences health, and it is based on theoretical constructs of sociology and mathematical foundations of graph theory"
47,Social Network Analysis, Network Analysis,Social Media,Advanced,"the study of structure, and how it influences health, and it is based on theoretical constructs of sociology and mathematical foundations of graph theory"
47,Social Network Analysis,Graph Theory,Social Media,Advanced,"the study of structure, and how it influences health, and it is based on theoretical constructs of sociology and mathematical foundations of graph theory"
47,Social Network Analysis,Data Visualization,Social Media,Advanced,"the study of structure, and how it influences health, and it is based on theoretical constructs of sociology and mathematical foundations of graph theory"
48,Online Appointment Booking System,Python,Healthcare,Intermediate,"a type of digital solution that allows citizens to book, schedule, or cancel their appointments through web-based systems."
48,Online Appointment Booking System,Django (for web development),Healthcare,Intermediate,"a type of digital solution that allows citizens to book, schedule, or cancel their appointments through web-based systems."
48,Online Appointment Booking System,Flask (for web development),Healthcare,Intermediate,"a type of digital solution that allows citizens to book, schedule, or cancel their appointments through web-based systems."
48,Online Appointment Booking System,HTML,Healthcare,Intermediate,"a type of digital solution that allows citizens to book, schedule, or cancel their appointments through web-based systems."
48,Online Appointment Booking System,CSS,Healthcare,Intermediate,"a type of digital solution that allows citizens to book, schedule, or cancel their appointments through web-based systems."
48,Online Appointment Booking System,JavaScript (for frontend development),Healthcare,Intermediate,"a type of digital solution that allows citizens to book, schedule, or cancel their appointments through web-based systems."
48,Online Appointment Booking System,REST API,Healthcare,Intermediate,"a type of digital solution that allows citizens to book, schedule, or cancel their appointments through web-based systems."
48,Online Appointment Booking System,SQL database,Healthcare,Intermediate,"a type of digital solution that allows citizens to book, schedule, or cancel their appointments through web-based systems."
48,Online Appointment Booking System,NoSQL database,Healthcare,Intermediate,"a type of digital solution that allows citizens to book, schedule, or cancel their appointments through web-based systems."
49,Event Management System,Python,Event Management,Intermediate,"assist organizers with the planning, execution, and management of their events."
49,Event Management System,Django (for web development),Event Management,Intermediate,"assist organizers with the planning, execution, and management of their events."
49,Event Management System,Flask (for web development),Event Management,Intermediate,"assist organizers with the planning, execution, and management of their events."
49,Event Management System,HTML,Event Management,Intermediate,"assist organizers with the planning, execution, and management of their events."
49,Event Management System,CSS,Event Management,Intermediate,"assist organizers with the planning, execution, and management of their events."
49,Event Management System,JavaScript (for frontend development),Event Management,Intermediate,"assist organizers with the planning, execution, and management of their events."
49,Event Management System, REST API,Event Management,Intermediate,"assist organizers with the planning, execution, and management of their events."
49,Event Management System,SQL database,Event Management,Intermediate,"assist organizers with the planning, execution, and management of their events."
49,Event Management System,NoSQL database,Event Management,Intermediate,"assist organizers with the planning, execution, and management of their events."
50,Smart Home Automation,Python,IoT,Intermediate,"a network of hardware, communication, and electronic interfaces that work to integrate everyday devices with one another via the Internet"
50,Smart Home Automation,Raspberry Pi,IoT,Intermediate,"a network of hardware, communication, and electronic interfaces that work to integrate everyday devices with one another via the Internet"
50,Smart Home Automation,Node.js,IoT,Intermediate,"a network of hardware, communication, and electronic interfaces that work to integrate everyday devices with one another via the Internet"
50,Smart Home Automation,MQTT,IoT,Intermediate,"a network of hardware, communication, and electronic interfaces that work to integrate everyday devices with one another via the Internet"
50,Smart Home Automation,IoT platforms,IoT,Intermediate,"a network of hardware, communication, and electronic interfaces that work to integrate everyday devices with one another via the Internet"
51,Online Food Delivery Platform,Python,E-commerce,Advanced,"online business that acts as an intermediary between consumers and multiple food facilities to submit food orders from a consumer to a participating food facility, and to arrange for the delivery of the order from the food facility to the consumer."
51,Online Food Delivery Platform,Flask,E-commerce,Advanced,"online business that acts as an intermediary between consumers and multiple food facilities to submit food orders from a consumer to a participating food facility, and to arrange for the delivery of the order from the food facility to the consumer."
51,Online Food Delivery Platform,Django,E-commerce,Advanced,"online business that acts as an intermediary between consumers and multiple food facilities to submit food orders from a consumer to a participating food facility, and to arrange for the delivery of the order from the food facility to the consumer."
51,Online Food Delivery Platform,HTML,E-commerce,Advanced,"online business that acts as an intermediary between consumers and multiple food facilities to submit food orders from a consumer to a participating food facility, and to arrange for the delivery of the order from the food facility to the consumer."
51,Online Food Delivery Platform, CSS,E-commerce,Advanced,"online business that acts as an intermediary between consumers and multiple food facilities to submit food orders from a consumer to a participating food facility, and to arrange for the delivery of the order from the food facility to the consumer."
51,Online Food Delivery Platform,JavaScript,E-commerce,Advanced,"online business that acts as an intermediary between consumers and multiple food facilities to submit food orders from a consumer to a participating food facility, and to arrange for the delivery of the order from the food facility to the consumer."
51,Online Food Delivery Platform,REST API,E-commerce,Advanced,"online business that acts as an intermediary between consumers and multiple food facilities to submit food orders from a consumer to a participating food facility, and to arrange for the delivery of the order from the food facility to the consumer."
51,Online Food Delivery Platform,Payment Gateway Integration,E-commerce,Advanced,"online business that acts as an intermediary between consumers and multiple food facilities to submit food orders from a consumer to a participating food facility, and to arrange for the delivery of the order from the food facility to the consumer."
52,Music Recommendation System,Python,Entertainment,Intermediate,collect and analyze the data necessary to nominate the best music means for the people concerned
52,Music Recommendation System,Machine Learning,Entertainment,Intermediate,collect and analyze the data necessary to nominate the best music means for the people concerned
52,Music Recommendation System, Deep Learning,Entertainment,Intermediate,collect and analyze the data necessary to nominate the best music means for the people concerned
52,Music Recommendation System,Natural Language Processing (NLP),Entertainment,Intermediate,collect and analyze the data necessary to nominate the best music means for the people concerned
52,Music Recommendation System,Pandas,Entertainment,Intermediate,collect and analyze the data necessary to nominate the best music means for the people concerned
52,Music Recommendation System,Matplotlib,Entertainment,Intermediate,collect and analyze the data necessary to nominate the best music means for the people concerned
53,Personal Finance Management Tool,Python,Finance,Intermediate,aggregate and view all your financial information on one platform and manage your cash flow better. 
53,Personal Finance Management Tool,Django or Flask,Finance,Intermediate,aggregate and view all your financial information on one platform and manage your cash flow better. 
53,Personal Finance Management Tool,HTML,Finance,Intermediate,aggregate and view all your financial information on one platform and manage your cash flow better. 
53,Personal Finance Management Tool,CSS,Finance,Intermediate,aggregate and view all your financial information on one platform and manage your cash flow better. 
53,Personal Finance Management Tool,JavaScript,Finance,Intermediate,aggregate and view all your financial information on one platform and manage your cash flow better. 
53,Personal Finance Management Tool,REST API,Finance,Intermediate,aggregate and view all your financial information on one platform and manage your cash flow better. 
53,Personal Finance Management Tool,SQL,Finance,Intermediate,aggregate and view all your financial information on one platform and manage your cash flow better. 
54,Healthcare Chatbot,Python,Healthcare,Advanced,"AI-powered conversational solutions that help patients, insurance companies, and healthcare providers easily connect with each other."
54,Healthcare Chatbot,Machine Learning,Healthcare,Advanced,"AI-powered conversational solutions that help patients, insurance companies, and healthcare providers easily connect with each other."
54,Healthcare Chatbot,Deep Learning,Healthcare,Advanced,"AI-powered conversational solutions that help patients, insurance companies, and healthcare providers easily connect with each other."
54,Healthcare Chatbot,Natural Language Processing (NLP),Healthcare,Advanced,"AI-powered conversational solutions that help patients, insurance companies, and healthcare providers easily connect with each other."
54,Healthcare Chatbot,REST API,Healthcare,Advanced,"AI-powered conversational solutions that help patients, insurance companies, and healthcare providers easily connect with each other."
54,Healthcare Chatbot,Cloud Computing,Healthcare,Advanced,"AI-powered conversational solutions that help patients, insurance companies, and healthcare providers easily connect with each other."
55,Voice Assistant for Smart Homes,Python,IoT,Advanced,responds to your verbal commands to activate various smart appliances throughout your home
55,Voice Assistant for Smart Homes,Raspberry Pi,IoT,Advanced,responds to your verbal commands to activate various smart appliances throughout your home
55,Voice Assistant for Smart Homes,Node.js,IoT,Advanced,responds to your verbal commands to activate various smart appliances throughout your home
55,Voice Assistant for Smart Homes,MQTT,IoT,Advanced,responds to your verbal commands to activate various smart appliances throughout your home
55,Voice Assistant for Smart Homes,IoT platforms,IoT,Advanced,responds to your verbal commands to activate various smart appliances throughout your home
56,E-learning Game Platform,Python,Education,Intermediate,"an integrated set of interactive online services that provide trainers, learners, and others involved in education with information, tools, and resources to support and enhance education delivery and management"
56,E-learning Game Platform,Unity,Education,Intermediate,"an integrated set of interactive online services that provide trainers, learners, and others involved in education with information, tools, and resources to support and enhance education delivery and management"
56,E-learning Game Platform,HTML,Education,Intermediate,"an integrated set of interactive online services that provide trainers, learners, and others involved in education with information, tools, and resources to support and enhance education delivery and management"
56,E-learning Game Platform,CSS,Education,Intermediate,"an integrated set of interactive online services that provide trainers, learners, and others involved in education with information, tools, and resources to support and enhance education delivery and management"
56,E-learning Game Platform,JavaScript,Education,Intermediate,"an integrated set of interactive online services that provide trainers, learners, and others involved in education with information, tools, and resources to support and enhance education delivery and management"
56,E-learning Game Platform,REST API,Education,Intermediate,"an integrated set of interactive online services that provide trainers, learners, and others involved in education with information, tools, and resources to support and enhance education delivery and management"
57,News Recommendation System,Python,Media,Intermediate,rely on algorithms that provide users with personalised recommendations based on past data about interactions with news content
57,News Recommendation System,Machine Learning,Media,Intermediate,rely on algorithms that provide users with personalised recommendations based on past data about interactions with news content
57,News Recommendation System,Deep Learning,Media,Intermediate,rely on algorithms that provide users with personalised recommendations based on past data about interactions with news content
57,News Recommendation System,Natural Language Processing (NLP),Media,Intermediate,rely on algorithms that provide users with personalised recommendations based on past data about interactions with news content
57,News Recommendation System,Pandas,Media,Intermediate,rely on algorithms that provide users with personalised recommendations based on past data about interactions with news content
57,News Recommendation System,Matplotlib,Media,Intermediate,rely on algorithms that provide users with personalised recommendations based on past data about interactions with news content
58,Real Estate Property Management System,Python,Real Estate,Advanced,centralizes the organization of accommodations businesses and residential properties by organizing and scheduling
58,Real Estate Property Management System,Django,Real Estate,Advanced,centralizes the organization of accommodations businesses and residential properties by organizing and scheduling
58,Real Estate Property Management System,Flask ,Real Estate,Advanced,centralizes the organization of accommodations businesses and residential properties by organizing and scheduling
58,Real Estate Property Management System,HTML,Real Estate,Advanced,centralizes the organization of accommodations businesses and residential properties by organizing and scheduling
58,Real Estate Property Management System,CSS,Real Estate,Advanced,centralizes the organization of accommodations businesses and residential properties by organizing and scheduling
58,Real Estate Property Management System,JavaScript,Real Estate,Advanced,centralizes the organization of accommodations businesses and residential properties by organizing and scheduling
58,Real Estate Property Management System,REST API,Real Estate,Advanced,centralizes the organization of accommodations businesses and residential properties by organizing and scheduling
58,Real Estate Property Management System,SQL,Real Estate,Advanced,centralizes the organization of accommodations businesses and residential properties by organizing and scheduling
59,Renewable Energy Management System,Python,Energy,Intermediate,"focuses its energy use on alternative, renewable sources. This is done while actively monitoring energy assets to ensure they operate at peak"
59,Renewable Energy Management System,Raspberry Pi,Energy,Intermediate,"focuses its energy use on alternative, renewable sources. This is done while actively monitoring energy assets to ensure they operate at peak"
59,Renewable Energy Management System,Node.js,Energy,Intermediate,"focuses its energy use on alternative, renewable sources. This is done while actively monitoring energy assets to ensure they operate at peak"
59,Renewable Energy Management System,MQTT,Energy,Intermediate,"focuses its energy use on alternative, renewable sources. This is done while actively monitoring energy assets to ensure they operate at peak"
59,Renewable Energy Management System,IoT platforms,Energy,Intermediate,"focuses its energy use on alternative, renewable sources. This is done while actively monitoring energy assets to ensure they operate at peak"
60,Text-to-Speech and Speech-to-Text System,Python,Communication,Advanced,It works to convert text into speech and convert speech into text taking into account spelling errors
60,Text-to-Speech and Speech-to-Text System,Deep Learning,Communication,Advanced,It works to convert text into speech and convert speech into text taking into account spelling errors
60,Text-to-Speech and Speech-to-Text System,Natural Language Processing (NLP),Communication,Advanced,It works to convert text into speech and convert speech into text taking into account spelling errors
60,Text-to-Speech and Speech-to-Text System,Signal Processing,Communication,Advanced,It works to convert text into speech and convert speech into text taking into account spelling errors
61,Language Translation Application,Python,Translation,Intermediate,makes it easy to translate individual words or entire sentences using your smartphone
61,Language Translation Application,Machine Learning,Translation,Intermediate,makes it easy to translate individual words or entire sentences using your smartphone
61,Language Translation Application,Deep Learning ,Translation,Intermediate,makes it easy to translate individual words or entire sentences using your smartphone
61,Language Translation Application,Natural Language Processing (NLP),Translation,Intermediate,makes it easy to translate individual words or entire sentences using your smartphone
61,Language Translation Application,REST API,Translation,Intermediate,makes it easy to translate individual words or entire sentences using your smartphone
62,Online Gaming Platform,Python,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
62,Online Gaming Platform,Django or Flask,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
62,Online Gaming Platform,HTML,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
62,Online Gaming Platform,CSS ,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
62,Online Gaming Platform,JavaScript,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
62,Online Gaming Platform,REST API,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
62,Online Gaming Platform,SQL,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
64,Online Event Ticketing Platform Development,HTML,Event Management,Advanced,"a help desk software program used to process, manage, and track customer issues from submission to resolution. Ticketing systems automatically organize and prioritize support requests in a central dashboard. Users can tag, categorize, and assign tickets as they come in"
64,Online Event Ticketing Platform Development,CSS,Event Management,Advanced,"a help desk software program used to process, manage, and track customer issues from submission to resolution. Ticketing systems automatically organize and prioritize support requests in a central dashboard. Users can tag, categorize, and assign tickets as they come in"
64,Online Event Ticketing Platform Development,JavaScript,Event Management,Advanced,"a help desk software program used to process, manage, and track customer issues from submission to resolution. Ticketing systems automatically organize and prioritize support requests in a central dashboard. Users can tag, categorize, and assign tickets as they come in"
64,Online Event Ticketing Platform Development,PHP,Event Management,Advanced,"a help desk software program used to process, manage, and track customer issues from submission to resolution. Ticketing systems automatically organize and prioritize support requests in a central dashboard. Users can tag, categorize, and assign tickets as they come in"
64,Online Event Ticketing Platform Development,Python,Event Management,Advanced,"a help desk software program used to process, manage, and track customer issues from submission to resolution. Ticketing systems automatically organize and prioritize support requests in a central dashboard. Users can tag, categorize, and assign tickets as they come in"
64,Online Event Ticketing Platform Development,MySQL,Event Management,Advanced,"a help desk software program used to process, manage, and track customer issues from submission to resolution. Ticketing systems automatically organize and prioritize support requests in a central dashboard. Users can tag, categorize, and assign tickets as they come in"
64,Online Event Ticketing Platform Development,MongoDB,Event Management,Advanced,"a help desk software program used to process, manage, and track customer issues from submission to resolution. Ticketing systems automatically organize and prioritize support requests in a central dashboard. Users can tag, categorize, and assign tickets as they come in"
64,Online Event Ticketing Platform Development,REST API,Event Management,Advanced,"a help desk software program used to process, manage, and track customer issues from submission to resolution. Ticketing systems automatically organize and prioritize support requests in a central dashboard. Users can tag, categorize, and assign tickets as they come in"
64,Online Event Ticketing Platform Development,Payment Gateway Integration,Event Management,Advanced,"a help desk software program used to process, manage, and track customer issues from submission to resolution. Ticketing systems automatically organize and prioritize support requests in a central dashboard. Users can tag, categorize, and assign tickets as they come in"
67,Online Travel Booking System,HTML,Travel and Tourism,Advanced,a software solution and reservation system that makes it simple for guests to book and pay for your tours and activities online. Some of these systems also include reporting software for tour operators and other user-friendly tools that help you improve efficiencies and boost bookings.
67,Online Travel Booking System,CSS,Travel and Tourism,Advanced,a software solution and reservation system that makes it simple for guests to book and pay for your tours and activities online. Some of these systems also include reporting software for tour operators and other user-friendly tools that help you improve efficiencies and boost bookings.
67,Online Travel Booking System,JavaScript,Travel and Tourism,Advanced,a software solution and reservation system that makes it simple for guests to book and pay for your tours and activities online. Some of these systems also include reporting software for tour operators and other user-friendly tools that help you improve efficiencies and boost bookings.
67,Online Travel Booking System,PHP or Python,Travel and Tourism,Advanced,a software solution and reservation system that makes it simple for guests to book and pay for your tours and activities online. Some of these systems also include reporting software for tour operators and other user-friendly tools that help you improve efficiencies and boost bookings.
67,Online Travel Booking System,MySQL or MongoDB,Travel and Tourism,Advanced,a software solution and reservation system that makes it simple for guests to book and pay for your tours and activities online. Some of these systems also include reporting software for tour operators and other user-friendly tools that help you improve efficiencies and boost bookings.
67,Online Travel Booking System,REST API,Travel and Tourism,Advanced,a software solution and reservation system that makes it simple for guests to book and pay for your tours and activities online. Some of these systems also include reporting software for tour operators and other user-friendly tools that help you improve efficiencies and boost bookings.
67,Online Travel Booking System,Payment Gateway Integration,Travel and Tourism,Advanced,a software solution and reservation system that makes it simple for guests to book and pay for your tours and activities online. Some of these systems also include reporting software for tour operators and other user-friendly tools that help you improve efficiencies and boost bookings.
68,Social Impact Assessment and Reporting Tool,HTML,Social Responsibility,Intermediate,"evaluate the potential impacts of a project, policy, program, or activity on various stakeholders and the environment. These tools can help identify and mitigate negative and maximize positive impacts and can be used at various stages of the project lifecycle."
68,Social Impact Assessment and Reporting Tool,CSS,Social Responsibility,Intermediate,"evaluate the potential impacts of a project, policy, program, or activity on various stakeholders and the environment. These tools can help identify and mitigate negative and maximize positive impacts and can be used at various stages of the project lifecycle."
68,Social Impact Assessment and Reporting Tool,"JavaScript,",Social Responsibility,Intermediate,"evaluate the potential impacts of a project, policy, program, or activity on various stakeholders and the environment. These tools can help identify and mitigate negative and maximize positive impacts and can be used at various stages of the project lifecycle."
68,Social Impact Assessment and Reporting Tool,PHP or Python,Social Responsibility,Intermediate,"evaluate the potential impacts of a project, policy, program, or activity on various stakeholders and the environment. These tools can help identify and mitigate negative and maximize positive impacts and can be used at various stages of the project lifecycle."
68,Social Impact Assessment and Reporting Tool,MySQL or MongoDB,Social Responsibility,Intermediate,"evaluate the potential impacts of a project, policy, program, or activity on various stakeholders and the environment. These tools can help identify and mitigate negative and maximize positive impacts and can be used at various stages of the project lifecycle."
68,Social Impact Assessment and Reporting Tool,REST API,Social Responsibility,Intermediate,"evaluate the potential impacts of a project, policy, program, or activity on various stakeholders and the environment. These tools can help identify and mitigate negative and maximize positive impacts and can be used at various stages of the project lifecycle."
70,Online Real Estate Marketplace,HTML,Real Estate,Advanced,"an online platform that links clients with realtors, brokers, and property managers."
70,Online Real Estate Marketplace,CSS,Real Estate,Advanced,"an online platform that links clients with realtors, brokers, and property managers."
70,Online Real Estate Marketplace,JavaScript,Real Estate,Advanced,"an online platform that links clients with realtors, brokers, and property managers."
70,Online Real Estate Marketplace,PHP or Python,Real Estate,Advanced,"an online platform that links clients with realtors, brokers, and property managers."
70,Online Real Estate Marketplace,MySQL or MongoDB,Real Estate,Advanced,"an online platform that links clients with realtors, brokers, and property managers."
70,Online Real Estate Marketplace,REST API,Real Estate,Advanced,"an online platform that links clients with realtors, brokers, and property managers."
70,Online Real Estate Marketplace,Payment Gateway Integration,Real Estate,Advanced,"an online platform that links clients with realtors, brokers, and property managers."
72,Online Voting System,HTML,Governance,Advanced,"voting that uses electronic means to either aid or take care of casting and counting ballots. Depending on the particular implementation, e-voting may use standalone electronic voting machines (also called EVM) or computers connected to the Internet (online voting)"
72,Online Voting System,CSS,Governance,Advanced,"voting that uses electronic means to either aid or take care of casting and counting ballots. Depending on the particular implementation, e-voting may use standalone electronic voting machines (also called EVM) or computers connected to the Internet (online voting)"
72,Online Voting System,"avaScript, ",Governance,Advanced,"voting that uses electronic means to either aid or take care of casting and counting ballots. Depending on the particular implementation, e-voting may use standalone electronic voting machines (also called EVM) or computers connected to the Internet (online voting)"
72,Online Voting System,PHP,Governance,Advanced,"voting that uses electronic means to either aid or take care of casting and counting ballots. Depending on the particular implementation, e-voting may use standalone electronic voting machines (also called EVM) or computers connected to the Internet (online voting)"
72,Online Voting System,Python,Governance,Advanced,"voting that uses electronic means to either aid or take care of casting and counting ballots. Depending on the particular implementation, e-voting may use standalone electronic voting machines (also called EVM) or computers connected to the Internet (online voting)"
72,Online Voting System,MySQL,Governance,Advanced,"voting that uses electronic means to either aid or take care of casting and counting ballots. Depending on the particular implementation, e-voting may use standalone electronic voting machines (also called EVM) or computers connected to the Internet (online voting)"
72,Online Voting System,MongoDB,Governance,Advanced,"voting that uses electronic means to either aid or take care of casting and counting ballots. Depending on the particular implementation, e-voting may use standalone electronic voting machines (also called EVM) or computers connected to the Internet (online voting)"
72,Online Voting System,REST API,Governance,Advanced,"voting that uses electronic means to either aid or take care of casting and counting ballots. Depending on the particular implementation, e-voting may use standalone electronic voting machines (also called EVM) or computers connected to the Internet (online voting)"
72,Online Voting System,Blockchain Integration,Governance,Advanced,"voting that uses electronic means to either aid or take care of casting and counting ballots. Depending on the particular implementation, e-voting may use standalone electronic voting machines (also called EVM) or computers connected to the Internet (online voting)"
73,Online Music Instrument Learning Platform,HTML,Music,Advanced,Learn to play all musical instruments online in a simple and professional way
73,Online Music Instrument Learning Platform,CSS,Music,Advanced,Learn to play all musical instruments online in a simple and professional way
73,Online Music Instrument Learning Platform,JavaScript,Music,Advanced,Learn to play all musical instruments online in a simple and professional way
73,Online Music Instrument Learning Platform,PHP or Python,Music,Advanced,Learn to play all musical instruments online in a simple and professional way
73,Online Music Instrument Learning Platform,MySQL or MongoDB,Music,Advanced,Learn to play all musical instruments online in a simple and professional way
73,Online Music Instrument Learning Platform,REST API,Music,Advanced,Learn to play all musical instruments online in a simple and professional way
74,Online Pet Store,HTML,Pet Care,Advanced,"sells animals and pet care resources to the public online. A variety of animal supplies and pet accessories are also sold in pet shops. The products sold include: food, treats, toys, collars, leashes, cat litter, cages and aquariums"
74,Online Pet Store, CSS,Pet Care,Advanced,"sells animals and pet care resources to the public online. A variety of animal supplies and pet accessories are also sold in pet shops. The products sold include: food, treats, toys, collars, leashes, cat litter, cages and aquariums"
74,Online Pet Store,JavaScript,Pet Care,Advanced,"sells animals and pet care resources to the public online. A variety of animal supplies and pet accessories are also sold in pet shops. The products sold include: food, treats, toys, collars, leashes, cat litter, cages and aquariums"
74,Online Pet Store,PHP,Pet Care,Advanced,"sells animals and pet care resources to the public online. A variety of animal supplies and pet accessories are also sold in pet shops. The products sold include: food, treats, toys, collars, leashes, cat litter, cages and aquariums"
74,Online Pet Store,Python,Pet Care,Advanced,"sells animals and pet care resources to the public online. A variety of animal supplies and pet accessories are also sold in pet shops. The products sold include: food, treats, toys, collars, leashes, cat litter, cages and aquariums"
74,Online Pet Store, MySQL,Pet Care,Advanced,"sells animals and pet care resources to the public online. A variety of animal supplies and pet accessories are also sold in pet shops. The products sold include: food, treats, toys, collars, leashes, cat litter, cages and aquariums"
74,Online Pet Store,MongoDB,Pet Care,Advanced,"sells animals and pet care resources to the public online. A variety of animal supplies and pet accessories are also sold in pet shops. The products sold include: food, treats, toys, collars, leashes, cat litter, cages and aquariums"
74,Online Pet Store,REST API,Pet Care,Advanced,"sells animals and pet care resources to the public online. A variety of animal supplies and pet accessories are also sold in pet shops. The products sold include: food, treats, toys, collars, leashes, cat litter, cages and aquariums"
74,Online Pet Store,Payment Gateway Integration,Pet Care,Advanced,"sells animals and pet care resources to the public online. A variety of animal supplies and pet accessories are also sold in pet shops. The products sold include: food, treats, toys, collars, leashes, cat litter, cages and aquariums"
75,Online Trading Platform,HTML,Finance,Advanced,"allows investors and traders to position trades through financial intermediaries and to track accounts. Trading platforms also come bundled with other services, such as quotes in real-time, charting software, news feeds, and even premium analysis."
75,Online Trading Platform,CSS,Finance,Advanced,"allows investors and traders to position trades through financial intermediaries and to track accounts. Trading platforms also come bundled with other services, such as quotes in real-time, charting software, news feeds, and even premium analysis."
75,Online Trading Platform,JavaScript,Finance,Advanced,"allows investors and traders to position trades through financial intermediaries and to track accounts. Trading platforms also come bundled with other services, such as quotes in real-time, charting software, news feeds, and even premium analysis."
75,Online Trading Platform,PHP,Finance,Advanced,"allows investors and traders to position trades through financial intermediaries and to track accounts. Trading platforms also come bundled with other services, such as quotes in real-time, charting software, news feeds, and even premium analysis."
75,Online Trading Platform,Python,Finance,Advanced,"allows investors and traders to position trades through financial intermediaries and to track accounts. Trading platforms also come bundled with other services, such as quotes in real-time, charting software, news feeds, and even premium analysis."
75,Online Trading Platform,MySQL,Finance,Advanced,"allows investors and traders to position trades through financial intermediaries and to track accounts. Trading platforms also come bundled with other services, such as quotes in real-time, charting software, news feeds, and even premium analysis."
75,Online Trading Platform,MongoDB,Finance,Advanced,"allows investors and traders to position trades through financial intermediaries and to track accounts. Trading platforms also come bundled with other services, such as quotes in real-time, charting software, news feeds, and even premium analysis."
75,Online Trading Platform,REST API,Finance,Advanced,"allows investors and traders to position trades through financial intermediaries and to track accounts. Trading platforms also come bundled with other services, such as quotes in real-time, charting software, news feeds, and even premium analysis."
75,Online Trading Platform,Payment Gateway Integration,Finance,Advanced,"allows investors and traders to position trades through financial intermediaries and to track accounts. Trading platforms also come bundled with other services, such as quotes in real-time, charting software, news feeds, and even premium analysis."
76,Online Language Translation Platform,HTML,Translation,Advanced,"convert written material from one or more 'source languages' into the 'target language', making sure that the translated version conveys the meaning of the original as clearly as possible."
76,Online Language Translation Platform,CSS,Translation,Advanced,"convert written material from one or more 'source languages' into the 'target language', making sure that the translated version conveys the meaning of the original as clearly as possible."
76,Online Language Translation Platform,JavaScript,Translation,Advanced,"convert written material from one or more 'source languages' into the 'target language', making sure that the translated version conveys the meaning of the original as clearly as possible."
76,Online Language Translation Platform,PHP,Translation,Advanced,"convert written material from one or more 'source languages' into the 'target language', making sure that the translated version conveys the meaning of the original as clearly as possible."
76,Online Language Translation Platform,Python,Translation,Advanced,"convert written material from one or more 'source languages' into the 'target language', making sure that the translated version conveys the meaning of the original as clearly as possible."
76,Online Language Translation Platform,MySQL,Translation,Advanced,"convert written material from one or more 'source languages' into the 'target language', making sure that the translated version conveys the meaning of the original as clearly as possible."
76,Online Language Translation Platform,MongoDB,Translation,Advanced,"convert written material from one or more 'source languages' into the 'target language', making sure that the translated version conveys the meaning of the original as clearly as possible."
76,Online Language Translation Platform,REST API,Translation,Advanced,"convert written material from one or more 'source languages' into the 'target language', making sure that the translated version conveys the meaning of the original as clearly as possible."
77,Restaurant Ordering and Reservation System,HTML,Food and Beverage,Intermediate,"lets customers reserve a table while restaurateurs oversee bookings, cancellations, and no-shows. may also offer waitlist tools, visual table management features or allow you to handle digital pre-payments."
77,Restaurant Ordering and Reservation System,CSS,Food and Beverage,Intermediate,"lets customers reserve a table while restaurateurs oversee bookings, cancellations, and no-shows. may also offer waitlist tools, visual table management features or allow you to handle digital pre-payments."
77,Restaurant Ordering and Reservation System,JavaScript,Food and Beverage,Intermediate,"lets customers reserve a table while restaurateurs oversee bookings, cancellations, and no-shows. may also offer waitlist tools, visual table management features or allow you to handle digital pre-payments."
